network,content_id,genre_id,weekday_id,stratified_hour_id,y,n,leave_out_set
0,20,5,6,5,30,335,0
0,48,2,6,5,26,231,0
0,24,8,0,5,102,727,0
0,31,11,1,5,38,302,0
0,42,2,1,5,17,172,0
0,48,2,1,5,28,192,0
0,34,10,2,5,123,827,0
0,49,10,3,5,40,266,0
0,25,7,3,5,37,190,0
0,34,10,4,5,29,235,0
0,46,7,4,5,25,194,0
0,37,5,5,3,19,150,0
0,45,4,5,3,11,89,0
0,36,5,6,5,9,160,0
0,36,5,6,5,12,170,0
0,2,5,6,5,19,252,0
0,42,2,6,5,12,181,0
0,20,5,6,5,20,276,0
0,48,2,6,5,19,162,0
0,24,8,0,5,93,667,0
0,31,11,1,5,37,302,0
0,42,2,1,5,19,221,0
0,48,2,1,5,20,183,0
0,34,10,2,5,125,843,0
0,49,10,3,5,47,323,0
0,25,7,3,5,50,321,0
0,4,8,4,5,0,0,0
0,46,7,4,5,15,158,0
0,16,13,5,0,6,68,0
0,15,14,5,0,36,508,0
0,37,5,5,3,20,142,0
0,37,5,5,3,7,59,0
0,7,13,6,0,9,218,0
0,7,13,6,0,68,964,0
0,12,13,6,0,68,964,0
0,14,13,6,0,68,964,0
0,13,13,6,1,68,964,0
0,10,14,6,1,314,4620,0
0,11,14,6,1,314,4620,0
0,36,5,6,5,18,245,0
0,36,5,6,5,13,304,0
0,2,5,6,5,23,377,0
0,42,2,6,5,14,219,0
0,20,5,6,5,20,324,0
0,48,2,6,5,24,193,0
0,24,8,0,5,84,654,0
0,34,10,2,5,148,1058,0
0,46,7,4,5,36,259,0
0,46,7,4,5,20,214,0
0,16,13,5,0,13,115,0
0,15,14,5,0,34,432,0
0,37,14,5,3,80,834,0
0,37,13,5,3,0,0,0
0,7,13,6,0,12,183,0
0,7,13,6,0,70,940,0
0,14,13,6,0,70,940,0
0,9,14,6,0,268,3809,0
0,13,14,6,1,268,3809,0
0,12,14,6,1,376,4783,0
0,10,13,6,5,133,1604,0
0,3,0,6,5,366,2765,0
0,46,7,0,5,95,1007,0
0,56,7,0,5,87,651,0
0,55,7,1,5,121,1207,0
0,61,7,2,5,153,1073,0
0,47,7,2,5,304,2517,0
0,55,7,3,5,84,555,0
0,56,7,4,5,61,350,0
0,61,7,4,5,51,236,0
0,16,13,5,0,9,74,0
0,15,14,5,0,30,445,0
0,7,13,6,0,18,246,0
0,7,13,6,0,68,907,0
0,12,13,6,0,68,907,0
0,14,13,6,0,68,907,0
0,13,13,6,1,68,907,0
0,10,14,6,1,340,4322,0
0,20,5,6,5,40,383,0
0,36,5,6,5,33,488,0
0,2,5,6,5,33,617,0
0,42,2,6,5,51,762,0
0,20,5,6,5,49,762,0
0,48,2,6,5,71,832,0
0,46,7,0,5,113,999,0
0,56,7,0,5,66,538,0
0,58,2,1,5,93,667,0
0,59,2,1,5,100,689,0
0,55,7,1,5,82,863,0
0,61,7,2,5,178,1248,0
0,47,7,2,5,254,2216,0
0,25,7,3,5,118,729,0
0,41,7,3,5,96,632,0
0,58,2,4,5,51,301,0
0,59,2,4,5,27,218,0
0,55,7,4,5,26,225,0
0,16,13,5,0,7,82,0
0,15,14,5,0,38,468,0
0,37,5,5,3,12,126,0
0,37,5,5,3,11,84,0
0,7,13,6,0,20,195,0
0,7,13,6,0,55,584,0
0,9,14,6,0,251,3470,0
0,14,13,6,0,55,584,0
0,13,14,6,1,251,3470,0
0,12,14,6,1,389,4956,0
0,10,13,6,5,98,1375,0
0,2,5,6,5,57,1051,0
0,42,2,6,5,59,845,0
0,20,5,6,5,43,843,0
0,48,2,6,5,64,733,0
0,46,7,0,5,94,967,0
0,56,7,0,5,57,481,0
0,58,2,1,5,92,607,0
0,59,2,1,5,92,574,0
0,55,7,1,5,98,870,0
0,61,7,2,5,165,1185,0
0,47,7,2,5,253,2150,0
0,25,7,3,5,122,750,0
0,41,7,3,5,135,804,0
0,46,7,4,5,39,249,0
0,61,7,4,5,29,212,0
0,37,17,5,3,16,120,0
0,37,5,5,3,9,76,0
0,7,13,6,0,12,211,0
0,7,13,6,0,58,859,0
0,12,14,6,0,295,4147,0
0,14,13,6,0,58,859,0
0,13,14,6,1,295,4147,0
0,10,14,6,1,295,4147,0
0,11,14,6,1,295,4147,0
0,59,2,6,5,16,149,0
0,36,5,6,5,31,424,0
0,2,5,6,5,46,631,0
0,42,2,6,5,43,667,0
0,20,5,6,5,40,720,0
0,48,2,6,5,45,600,0
0,46,7,0,5,85,905,0
0,56,7,0,5,63,428,0
0,58,2,1,5,99,531,0
0,59,2,1,5,71,447,0
0,55,7,1,5,67,641,0
0,61,7,2,5,169,1046,0
0,47,7,2,5,265,2114,0
0,25,7,3,5,112,693,0
0,41,7,3,5,89,507,0
0,15,14,4,5,128,1387,0
0,16,13,4,5,36,237,0
0,58,2,5,5,26,149,0
0,59,2,5,5,22,106,0
0,61,7,5,5,18,130,0
0,37,5,5,3,18,141,0
0,37,5,5,3,9,64,0
0,7,13,6,0,26,212,0
0,7,13,6,0,50,728,0
0,14,13,6,0,50,728,0
0,12,13,6,0,50,728,0
0,13,13,6,1,50,728,0
0,10,14,6,1,322,4294,0
0,11,14,6,1,322,4294,0
0,59,2,6,5,20,130,0
0,2,5,6,5,43,460,0
0,2,5,6,5,55,758,0
0,42,2,6,5,48,660,0
0,36,5,6,5,47,475,0
0,48,2,6,5,52,566,0
0,46,7,0,5,94,908,0
0,56,7,0,5,55,401,0
0,58,2,1,5,72,505,0
0,59,2,1,5,68,480,0
0,55,7,1,5,61,624,0
0,61,7,2,5,122,778,0
0,47,7,2,5,242,2099,0
0,25,7,3,5,106,701,0
0,41,7,3,5,99,570,0
0,46,7,4,5,24,251,0
0,61,7,4,5,35,232,0
0,27,13,5,0,6,75,0
0,30,14,5,0,28,245,0
0,37,5,5,3,16,117,0
0,37,5,5,3,6,62,0
0,7,13,6,0,26,285,0
0,7,13,6,0,56,739,0
0,14,13,6,0,56,739,0
0,9,14,6,0,254,3479,0
0,13,14,6,1,254,3479,0
0,12,14,6,1,369,4142,0
0,10,13,6,5,108,1478,0
0,2,5,6,5,88,1200,0
0,42,2,6,5,71,854,0
0,20,5,6,5,51,847,0
0,48,2,6,5,71,731,0
0,46,7,0,5,104,937,0
0,56,7,0,5,52,387,0
0,16,13,1,5,61,504,0
0,15,14,1,5,319,3448,0
0,16,13,2,5,37,391,0
0,15,14,2,5,264,2728,0
0,25,7,3,5,117,778,0
0,41,7,3,5,106,653,0
0,16,13,4,5,35,347,0
0,15,14,4,5,235,2396,0
0,16,13,5,5,33,383,0
0,15,14,5,5,251,2353,0
0,58,14,5,3,251,2353,0
0,59,13,5,3,0,0,0
0,7,13,6,4,26,343,0
0,14,13,6,4,26,343,0
0,9,14,6,4,144,2267,0
0,7,14,6,0,144,2267,0
0,13,14,6,0,144,2267,0
0,9,14,6,0,348,4186,0
0,14,13,6,0,80,1215,0
0,13,14,6,1,348,4186,0
0,12,14,6,1,468,5256,0
0,11,14,6,1,468,5256,0
0,10,14,6,5,468,5256,0
0,16,13,6,5,126,1525,0
0,15,14,6,5,368,3985,0
0,18,14,6,3,368,3985,0
0,46,7,0,5,87,901,0
0,56,7,0,5,65,452,0
0,58,2,1,5,84,501,0
0,59,2,1,5,69,439,0
0,55,7,1,5,63,620,0
0,61,7,2,5,157,1061,0
0,47,7,2,5,258,2063,0
0,25,7,3,5,98,704,0
0,41,7,3,5,89,519,0
0,43,10,4,5,115,745,0
0,19,3,4,5,52,376,0
0,37,14,5,3,62,683,0
0,37,5,5,3,13,93,0
0,7,13,6,0,15,250,0
0,7,13,6,0,54,882,0
0,14,13,6,0,54,882,0
0,12,13,6,0,54,882,0
0,13,13,6,1,54,882,0
0,10,14,6,1,358,4733,0
0,11,14,6,1,358,4733,0
