,Date,Team 1 ID,Team 2 ID,winner
19018,2016Q3,4608,6137,4608
19019,2016Q3,4608,6137,6137
19034,2016Q3,6665,7157,6665
19009,2016Q3,6301,7010,7010
19035,2016Q3,7175,5422,5422
19037,2016Q3,7157,6807,7157
19039,2016Q3,6665,4602,6665
19052,2016Q3,6615,6211,6615
19053,2016Q3,6673,7010,7010
19054,2016Q3,5752,5974,5752
19055,2016Q3,7010,6673,7010
19057,2016Q3,6386,5973,5973
19058,2016Q3,5973,6386,5973
19060,2016Q3,6211,6615,6211
19036,2016Q3,7175,5831,7175
19061,2016Q3,5974,5752,5752
19008,2016Q3,5752,5005,5752
19003,2016Q3,5991,6665,6665
18955,2016Q3,7010,6211,7010
18956,2016Q3,7010,6211,7010
18959,2016Q3,5422,4494,4494
18960,2016Q3,5991,4411,4411
18961,2016Q3,4494,5422,4494
18962,2016Q3,6665,5988,6665
18963,2016Q3,4411,5991,5991
18964,2016Q3,5995,5310,5995
18965,2016Q3,5310,5995,5995
19005,2016Q3,5995,4991,4991
18967,2016Q3,5988,6665,6665
18971,2016Q3,6301,5005,6301
18973,2016Q3,5005,6301,5005
18974,2016Q3,7106,7010,7010
18987,2016Q3,6137,4608,4608
18988,2016Q3,6137,4608,6137
18991,2016Q3,4501,7157,4501
18992,2016Q3,4501,7157,4501
19001,2016Q3,6667,4411,4411
19002,2016Q3,6665,5991,5991
18969,2016Q3,7010,7106,7106
19078,2016Q3,5973,6290,5973
19010,2016Q3,4411,6667,4411
19084,2016Q3,6978,7175,7175
19151,2016Q3,7010,6736,6736
19152,2016Q3,7010,6736,7010
19155,2016Q3,5973,6615,5973
19156,2016Q3,5973,6615,5973
19159,2016Q3,5995,5988,5995
19160,2016Q3,5988,5995,5995
19161,2016Q3,5395,5378,5378
19171,2016Q3,6665,4591,6665
19172,2016Q3,6665,4591,6665
19173,2016Q3,6902,7175,6902
19174,2016Q3,6902,7175,6902
19184,2016Q3,5310,4991,5310
19185,2016Q3,4991,5310,4991
19191,2016Q3,6665,6667,6665
19192,2016Q3,6386,5974,6386
19194,2016Q3,7106,6673,6673
19196,2016Q3,5974,6386,6386
19199,2016Q3,6211,5752,5752
19201,2016Q3,5973,6137,5973
19079,2016Q3,5973,6290,5973
19202,2016Q3,5752,6211,5752
19150,2016Q3,7010,6736,7010
19140,2016Q3,5973,5752,5752
19162,2016Q3,5378,5395,5395
19085,2016Q3,6978,7175,7175
19139,2016Q3,5973,5752,5752
19086,2016Q3,6665,7175,6665
19087,2016Q3,6665,7175,7175
19088,2016Q3,6665,7175,7175
19089,2016Q3,5996,6615,6615
19090,2016Q3,5996,6615,6615
19092,2016Q3,7157,4602,4602
19093,2016Q3,7157,4602,7157
19097,2016Q3,7175,5422,7175
19098,2016Q3,7175,5422,5422
